arch,workload,l1_kB,ipc,power_mW,eff_ipc_per_mW
a15,blowfish_large,2,1.060149,500.0,0.00212030
a15,blowfish_large,4,1.134343,500.0,0.00226869
a15,blowfish_large,8,1.359661,500.0,0.00271932
a15,blowfish_large,16,1.390119,500.0,0.00278024
a15,blowfish_large,32,1.497467,500.0,0.00299493
a15,dijkstra_large,2,0.654236,500.0,0.00130847
a15,dijkstra_large,4,0.716546,500.0,0.00143309
a15,dijkstra_large,8,0.901382,500.0,0.00180276
a15,dijkstra_large,16,0.981770,500.0,0.00196354
a15,dijkstra_large,32,1.141754,500.0,0.00228351
a7,blowfish_large,1,0.251957,100.0,0.00251957
a7,blowfish_large,2,0.257932,100.0,0.00257932
a7,blowfish_large,4,0.270185,100.0,0.00270185
a7,blowfish_large,8,0.296596,100.0,0.00296596
a7,blowfish_large,16,0.298072,100.0,0.00298072
a7,dijkstra_large,1,0.231858,100.0,0.00231858
a7,dijkstra_large,2,0.239406,100.0,0.00239406
a7,dijkstra_large,4,0.249901,100.0,0.00249901
a7,dijkstra_large,8,0.271426,100.0,0.00271426
a7,dijkstra_large,16,0.278733,100.0,0.00278733
