class,dijkstra_pct,blowfish_pct
FloatAdd,0.000000,0.000000
FloatCmp,0.000000,0.000000
FloatCvt,0.000000,0.000000
FloatDiv,0.000000,0.000000
FloatMemRead,0.000000,0.000000
FloatMemWrite,0.000006,0.000091
FloatMisc,0.000000,0.000000
FloatMult,0.000000,0.000000
FloatMultAcc,0.000000,0.000000
FloatSqrt,0.000000,0.000000
InstPrefetch,0.000000,0.000000
IntAlu,64.499166,64.424595
IntDiv,0.002213,0.000023
IntMult,3.723978,0.000045
IprAccess,0.000000,0.000000
Matrix,0.000000,0.000000
MatrixMov,0.000000,0.000000
MatrixOP,0.000000,0.000000
MemRead,22.241504,22.855417
MemWrite,9.533089,12.719215
No_OpClass,0.000045,0.000614
SimdAdd,0.000000,0.000000
SimdAddAcc,0.000000,0.000000
SimdAes,0.000000,0.000000
SimdAesMix,0.000000,0.000000
SimdAlu,0.000000,0.000000
SimdCmp,0.000000,0.000000
SimdCvt,0.000000,0.000000
SimdDiv,0.000000,0.000000
SimdFloatAdd,0.000000,0.000000
SimdFloatAlu,0.000000,0.000000
SimdFloatCmp,0.000000,0.000000
SimdFloatCvt,0.000000,0.000000
SimdFloatDiv,0.000000,0.000000
SimdFloatMatMultAcc,0.000000,0.000000
SimdFloatMisc,0.000000,0.000000
SimdFloatMult,0.000000,0.000000
SimdFloatMultAcc,0.000000,0.000000
SimdFloatReduceAdd,0.000000,0.000000
SimdFloatReduceCmp,0.000000,0.000000
SimdFloatSqrt,0.000000,0.000000
SimdMatMultAcc,0.000000,0.000000
SimdMisc,0.000000,0.000000
SimdMult,0.000000,0.000000
SimdMultAcc,0.000000,0.000000
SimdPredAlu,0.000000,0.000000
SimdReduceAdd,0.000000,0.000000
SimdReduceAlu,0.000000,0.000000
SimdReduceCmp,0.000000,0.000000
SimdSha1Hash,0.000000,0.000000
SimdSha1Hash2,0.000000,0.000000
SimdSha256Hash,0.000000,0.000000
SimdSha256Hash2,0.000000,0.000000
SimdShaSigma2,0.000000,0.000000
SimdShaSigma3,0.000000,0.000000
SimdShift,0.000000,0.000000
SimdShiftAcc,0.000000,0.000000
SimdSqrt,0.000000,0.000000
VectorConfig,0.000000,0.000000
VectorFloatArith,0.000000,0.000000
VectorFloatConvert,0.000000,0.000000
VectorFloatReduce,0.000000,0.000000
VectorIndexedLoad,0.000000,0.000000
VectorIndexedStore,0.000000,0.000000
VectorIntegerArith,0.000000,0.000000
VectorIntegerExtension,0.000000,0.000000
VectorIntegerReduce,0.000000,0.000000
VectorMisc,0.000000,0.000000
VectorStridedLoad,0.000000,0.000000
VectorStridedStore,0.000000,0.000000
VectorUnitStrideFaultOnlyFirstLoad,0.000000,0.000000
VectorUnitStrideLoad,0.000000,0.000000
VectorUnitStrideMaskLoad,0.000000,0.000000
VectorUnitStrideMaskStore,0.000000,0.000000
VectorUnitStrideStore,0.000000,0.000000
VectorWholeRegisterLoad,0.000000,0.000000
VectorWholeRegisterStore,0.000000,0.000000
